date,it_earnings,ai_investments,cpi_inflation,it_hiring
2024-04-01,31451.5,1143.32,3.97,288.66
2024-05-01,29997.32,1082.41,3.61,276.48
2024-06-01,31777.15,1162.56,3.84,292.51
2024-07-01,34172.91,1238.26,3.35,307.65
2024-08-01,32402.84,1180.65,3.25,296.13
2024-09-01,32509.39,1184.92,3.29,296.98
2024-10-01,33843.19,1235.83,3.46,307.17
2024-11-01,34866.72,1252.07,3.53,310.41
2024-12-01,36340.13,1322.79,3.36,324.56
2025-01-01,35855.3,1310.98,5.01,322.2
2025-02-01,35943.76,1331.1,4.81,326.22
2025-03-01,34070.93,1276.6,5.14,315.32
2025-04-01,32504.69,1214.78,4.88,302.96
2025-05-01,33797.84,1236.67,4.73,307.33
2025-06-01,36660.28,1343.23,4.65,328.65
2025-07-01,38136.22,1404.88,4.66,340.98
2025-08-01,38918.16,1422.71,4.35,344.54
2025-09-01,39589.9,1451.94,4.56,350.39
2025-10-01,42296.67,1550.05,5.17,370.01
2025-11-01,44188.9,1623.31,5.17,384.66
2025-12-01,42912.44,1583.93,4.78,376.79
2026-01-01,42465.34,1575.39,3.68,375.08
2026-02-01,43361.01,1608.66,3.91,381.73
2026-03-01,42222.9,1562.04,4.07,372.41
2026-04-01,41162.58,1501.25,3.77,360.25
2026-05-01,47168.79,1731.9,3.91,406.38
