date,it_earnings,ai_investments,cpi_inflation,it_hiring
2024-02-01,13590.61,2775.93,14.75,122.34
2024-03-01,13043.47,2818.02,14.35,119.54
2024-04-01,13756.87,2783.13,13.95,119.42
2024-05-01,13555.67,3075.43,13.55,120.2
2024-06-01,13299.62,3081.01,13.15,119.68
2024-07-01,13635.18,3038.9,12.75,121.68
2024-08-01,13575.35,3074.11,12.35,119.86
2024-09-01,13918.27,3150.27,11.95,121.36
2024-10-01,14054.66,3307.32,11.55,121.54
2024-11-01,13823.75,3396.31,11.15,119.11
2024-12-01,13811.8,3737.18,10.75,120.53
2025-01-01,13991.55,3532.74,10.35,123.01
2025-02-01,14169.7,3732.52,9.95,119.89
2025-03-01,14151.36,3844.15,9.55,121.99
2025-04-01,13942.76,3886.71,9.15,121.61
2025-05-01,14240.43,4033.86,8.75,120.63
2025-06-01,13970.41,4141.78,8.35,122.45
2025-07-01,14083.48,4120.82,7.95,121.23
2025-08-01,14408.46,4310.82,7.55,119.56
2025-09-01,14230.34,4572.23,7.15,122.96
2025-10-01,14478.36,4798.02,6.75,122.36
2025-11-01,14694.33,4973.82,6.35,120.12
2025-12-01,14546.91,4921.37,5.95,122.63
2026-01-01,14911.75,5248.94,5.55,124.04
2026-02-01,14645.64,5357.51,5.15,121.56
2026-03-01,15071.25,5368.94,4.75,122.2
2026-04-01,14737.97,5518.52,4.35,123.34
